source,objectid,parentid,filename,identifier,title,date,description,subject,location,format,type,language,creator,displaytemplate,object_location,image_small,image_thumb,image_alt_text,rights,rightsstatement
"City Hall History, Lewiston City Library",cityhall004,,DECEMBER_1912-_Finished_Building_Front_View_Looking_Southwest.jpg,DECEMBER 1912- Finished Building Front View (Looking Southwest),DECEMBER 1912- Finished Building Front View (Looking Southwest),1912-12/1979?,"The front of the recently finished Lewiston City Hall, as well as information about the building's size, construction materials, and cost. 641x480",buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8421,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8421&thumbnailSize=Thumb150X150,"A photo of the front exterior of the Lewiston City Hall, with the text 'United States of America' visible on the front of the building. There is a parked car in front of the building, and an infobox at the top of the image displaying details about the building's location, size, construction materials, and cost.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall005,,DECEMBER_1912-_Finished_Building_Front_View_Looking_Southwest.jpg,DECEMBER 1912- Finished Building Rear View (looking Northeast),DECEMBER 1912- Finished Building Rear View (looking Northeast),1912-12/1979?,The rear of the recently finished Lewiston City Hall. 640x500,buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8422,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8422&thumbnailSize=Thumb150X150,"A photo of the rear exterior of Lewiston City Hall, soon after it was finished. A man stands near the far entrance, facing the camera.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall006,,Early-_1911-_Construction_site_looking_Northeast_County_Courthouse_in_Right_corner.jpg,Early- 1911- Construction site (looking Northeast) County Courthouse in Right corner,Early- 1911- Construction site (looking Northeast) County Courthouse in Right corner,1911/1979?,"The empty plot of ground at the City Hall construction site, with several downtown Lewiston buildings visible in the background. 640x419",buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8423,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8423&thumbnailSize=Thumb150X150,"A photo of an empty plot of ground with several buildings visible in the background, including the Nez Perce County Courthouse.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall007,,FEBRUARY_1912-_Construction_in_Progress_Looking_South.jpg,FEBRUARY 1912- Construction in Progress (Looking South),FEBRUARY 1912- Construction in Progress (Looking South),1912-02/1979?,"The exterior of Lewiston City Hall under construction, and construction materials. 640x479",buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8424,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8424&thumbnailSize=Thumb150X150,"A photo of the exterior of the Lewiston City Hall under construction, with scaffolding visible and a large pile of lumber visible in the foreground.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall008,,JUNE_1911-_Construction_in_Progress_looking_East_Courthouse_Upper_Left_Corner.jpg,JUNE 1911- Construction in Progress (looking East) Courthouse Upper Left Corner,JUNE 1911- Construction in Progress (looking East) Courthouse Upper Left Corner,1911-06/1979?,The dug out space and foundation for City Hall under construction. 640x452,buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,Burns Photo LLC?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8425,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8425&thumbnailSize=Thumb150X150,"A photo of several people working on building the foundation of the Lewiston City Hall, which is built into a wide and deep rectangular hole in the ground. There is a ladder and lumber in the foreground, and a watermark of the photography company in the bottom right corner.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall009,,MARCH_1912-_Construction_in_progress_Looking_Noth_Rear_of_Building.jpg,MARCH 1912- Construction in progress (Looking Noth) Rear of Building,MARCH 1912- Construction in progress (Looking North) Rear of Building,1912-03/1979?,"The exterior of Lewiston City Hall under construction, and construction materials. 640x483",buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,Burns Photo LLC?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8426,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8426&thumbnailSize=Thumb150X150,"A photo of several people working on building the exterior of the Lewiston City Hall, with scaffolding, bricks, and other building materials visible. There is a watermark for the photography company in the bottom right corner.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall010,,MARCH_1912-_Construction_in_progress_Looking_South.jpg,MARCH 1912- Construction in progress (Looking South),MARCH 1912- Construction in progress (Looking South),1912-03/1979?,"The exterior of Lewiston City Hall under construction, and construction materials. 640x475",buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,Burns Photo LLC?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8427,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8427&thumbnailSize=Thumb150X150,"A photo of the exterior of the Lewiston City Hall under construction, with scaffolding visible and a large pile of lumber visible in the foreground. There is a man standing next to the building, facing the camera, and a watermark of the photography company in the bottom right corner.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall011,,MAY_1912-_Construction_in_progress_Looking_South.jpg,MAY 1912- Construction in progress (Looking South),MAY 1912- Construction in progress (Looking South),1912-05/1979?,"The exterior of Lewiston City Hall under construction, with scaffolding surrounding the building. 640x475",buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,Burns Photo LLC?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8428,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8428&thumbnailSize=Thumb150X150,"A photo of the Lewiston City Hall under construction, with all visible parts of the building surrounded by scaffolding, and a watermark of the photography company in the bottom right corner.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall012,,NOVEMBER_1912-_Construction_in_progress_Looking_Southeast.jpg,NOVEMBER 1912- Construction in progress (Looking Southeast),NOVEMBER 1912- Construction in progress (Looking Southeast),1912-11/1979?,"The exterior of Lewiston City Hall nearing the end of construction, and construction materials. 640x484",buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,Burns Photo LLC?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8429,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8429&thumbnailSize=Thumb150X150,"A photo of the exterior of the Lewiston City Hall nearing the end of construction. There are two people standing in front of the building and one person standing on top of the building. There is a large pile of bricks in the right side of the image, and a watermark of the photography company in the bottom right corner.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
"City Hall History, Lewiston City Library",cityhall013,,OCTOBER_1911-_Construction_in_Progress_looking_Southwest.jpg,OCTOBER 1911- Construction in Progress (looking Southwest),OCTOBER 1911- Construction in Progress (looking Southwest),1911-10/1979?,"The exterior of Lewiston City Hall under construction, with scaffolding and pillars constructed. 640x480",buildings; Lewiston City Hall,"Lewiston, Idaho",image/jpeg,Image; Black-and-white photographs,en,Burns Photo LLC?,image,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8430,,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8430&thumbnailSize=Thumb150X150,"A photo of the Lewiston City Hall early in construction, with only one floor built and scaffolding and stone pillars in the foreground, and a person standing on top of the building. There is a watermark of the photography company in the bottom right corner.","For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/
